House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Cannon Street,Steven,Webster,45,Head,Single,Male,Chief Technology Officer,None,None
1,Cannon Street,Wayne,Perkins,39,None,Single,Male,"Therapist, horticultural",None,None
1,Cannon Street,Garry,O'Sullivan,43,None,Single,Male,Records manager,None,Methodist
1,Cannon Street,Jenna,Herbert,62,None,Single,Female,Outdoor activities/education manager,None,None
2,Cannon Street,Katy,Johnson,48,Head,Single,Female,"Loss adjuster, chartered",None,None
3,Cannon Street,Grace,Brown,45,Head,Single,Female,"Designer, ceramics/pottery",None,Christian
3,Cannon Street,Julie,Brown,16,Daughter,NA,Female,Student,None,NA
3,Cannon Street,Katie,Brown,14,Daughter,NA,Female,Student,None,NA
3,Cannon Street,Simon,Brown,11,Son,NA,Male,Student,None,NA
3,Cannon Street,Chelsea,Brown,11,Daughter,NA,Female,Student,None,NA
4,Cannon Street,Francis,Jones,18,Head,Single,Male,University Student, ,Catholic
4,Cannon Street,Megan,Grant,19,None,Single,Female,University Student,None,None
4,Cannon Street,Barbara,Randall,19,None,Single,Female,University Student,None,Catholic
5,Cannon Street,Sandra,Bird,52,Head,Single,Female,Patent examiner,None,Christian
5,Cannon Street,Robert,Smith,51,Partner,Single,Male,Dentist,None,Christian
5,Cannon Street,Marc,Bird,24,Son,Divorced,Male,Colour technologist,Mental Disability,None
5,Cannon Street,Ashleigh,Bird,9,Daughter,NA,Female,Student,None,NA
6,Cannon Street,Jodie,Perry,58,Head,Married,Female,Make,None,Christian
6,Cannon Street,Kieran,Perry,59,Husband,Married,Male,Sports therapist,None,None
6,Cannon Street,Yvonne,Roberts,1,Granddaughter,NA,Female,Child,None,NA
7,Cannon Street, ,Cross,34,Head,Single,Male,Speech and language therapist,None,Christian
1,September Lake,Kathleen,Carroll,48,Head,Divorced,Female,Barista,None,Christian
1,September Lake,Andrea,Carroll,25,Daughter,Single,Female,Clinical biochemist,None,None
2,September Lake,Anne,Bradshaw,42,Head,Divorced,Female,Make,None,Catholic
2,September Lake,Patricia,Bradshaw,6,Daughter,NA,Female,Student,None,NA
2,September Lake,Samantha,Bradshaw,2,Daughter,NA,Female,Child,None,NA
2,September Lake,Terry,Myers,59,Lodger,Single,Male,"Engineer, petroleum",None,Christian
3,September Lake,Ashleigh,Clark,67,Head,Divorced,Female,Operations geologist,None,Christian
4,September Lake,Wendy,Graham,65,Head,Married,Female,IT trainer,None,Methodist
4,September Lake,Kyle,Graham,65,Husband,Married,Male,"Engineer, communications",None,None
4,September Lake,Adrian,Graham,36,Son,Divorced,Male,Race relations officer,None,Methodist
4,September Lake,Lynne,Graham,28,Daughter,Single,Female,"Nurse, children's",None,None
4,September Lake,Bernard,Graham,24,Son,Single,Male,"Production assistant, television",None,Methodist
4,September Lake,Louise,Graham,22,Daughter,Divorced,Female,University Student,None,None
5,September Lake,Bethan,Powell,40,Head,Single,Female,Gaffer,None,Catholic
5,September Lake,Darren,Powell,6,Son,NA,Male,Student,None,NA
5,September Lake,Geoffrey,Powell,6,Son,NA,Male,Student,None,NA
6,September Lake,Victor,Murphy,47,Head,Married,Male,Merchant navy officer,None,None
